LastName,ForeName,Initials
Tabata,Satoshi,S
McCouch,Susan,S
Wang,Daowen,D
Asp,Torben,T
Hoekenga,Owen A,OA
Hao,Yujin,Y
Buckler,E S,ES
Ye,Zhibiao,Z
Jin,Xiaoli,X
RÃ¶der,Marion S,MS
Gay,Gilles,G
Vega-Palas,Miguel A,MA
Prasad,Manoj,M
Raychaudhuri,Soumya,S
Costich,Denise E,DE
Stenlid,Jan,J
RÃ¶nnegÃ¥rd,Lars,L
Piepho,H-P,HP
Harada,John J,JJ
Hsu,Yi-Feng,YF
Jacobsen,Steven E,SE
Han,Bin,B
KarpiÅ„ski,StanisÅ‚aw,S
Nordborg,Magnus,M
Kresovich,Stephen,S
Xu,Shizhong,S
Zhou,Gongke,G
Yan,Jianbing,J
MÃ_ller-Myhsok,B,B
Balint-Kurti,Peter,P
Lockhart,Peter J,PJ
Tran,Lam-Son Phan,LS
George,A W,AW
Meng,Jinling,J
Liao,Boshou,B
Mariani,Celestina,C
Sun,Guochang,G
Jiggins,Francis M,FM
Qin,Song,S
Buckler,Edward,E
Worthington,Jane,J
Griffey,Carl A,CA
Kirti,Pulugurtha Bharadwaja,PB
PicÃ_,B,B
Zheng,Chengchao,C
RÃ¶der,Marion S,MS
Kashkush,Khalil,K
Moser,Claudio,C
Kapoor,Sanjay,S
Chen,Shilin,S
Shin,Chanseok,C
Costich,Denise E,DE
Carrington,James C,JC
Zheng,Yonglian,Y
Rasmussen,SÃ¸ren K,SK
Kato,Kiyoaki,K
Colot,Vincent,V
Vert,GrÃ©gory,G
Wang,Xiping,X
Aulchenko,Yurii S,YS
Griffin,Darren K,DK
Salt,David E,DE
Barnes,Jeremy,J
Park,Yong-Jin,YJ
Ahmadi,Kourosh R,KR
Tuteja,Narendra,N
Causse,Mathilde,M
Nordborg,Magnus,M
Bernardo,Rex,R
Lee,Suk-Ha,SH
Jannink,Jean-Luc,JL
Jacobsen,Steven E,SE
Bhatia,Sabhyata,S
Kochian,Leon V,LV
Dvorak,Jan,J
Ehrenreich,Ian M,IM
Zhang,Xueyong,X
Bancroft,Ian,I
Sorensen,Daniel,D
Ross-Ibarra,Jeffrey,J
Cheng,Beijiu,B
Jung,Christian,C
Kato,Ko,K
Machida,Chiyoko,C
Holland,James B,JB
Nordborg,Magnus,M
Yu,Jianming,J
Parchman,Thomas L,TL
WÃ_rschum,Tobias,T
Forster,John W,JW
Lai,Jinsheng,J
Yan,Jianbing,J
Melchinger,Albrecht E,AE
Galecki,Andrzej T,AT
Sorrells,Mark E,ME
Stich,Benjamin,B
Sorrells,Mark,M
Ma,Fengwang,F
Orjeda,Gisella,G
Ikeda,Yoko,Y
Charles Brummer,E,E
Knight,Julian C,JC
Li,Xinhai,X
Maloof,Julin N,JN
Glaszmann,Jean-Christophe,JC
Wu,Dianxing,D
Narangajavana,Jarunya,J
Buerkle,C Alex,CA
Bharti,Arvind K,AK
Spillane,Charles,C
Li,Ping,P
Li,G,G
Monteros,Maria J,MJ
Walther,Dirk,D
Yang,Runqing,R
Gazzarrini,Sonia,S
Yan,Jianbing,J
Rappleye,Chad A,CA
De Vita,Pasquale,P
Lu,Gang,G
Graner,Andreas,A
Gaut,Brandon,B
Loudet,Olivier,O
Yang,Mo,M
Melchinger,Albrecht E,AE
De Veylder,Lieven,L
Li,Xinhai,X
Wang,Yanwei,Y
Kiyosawa,Hidenori,H
Ibrahim,El ChÃ©rif,EC
Falque,Matthieu,M
Weigel,Detlef,D
Wei,Liping,L
Han,Bin,B
Flint-Garcia,Sherry A,SA
Rocheford,Torbert R,TR
Jiang,Jiming,J
Ma,Hong,H
Wang,Yanwei,Y
Zhang,Baohong,B
Rousset,M,M
Jiang,L W,LW
Jarvis,Deborah L,DL
Borevitz,Justin O,JO
Chen,Shui L,SL
Hyun,Tae Kyung,TK
Hasenstein,Karl H,KH
Yu,Deyue,D
Li,Sheng,S
Wilczek,A M,AM
Bergelson,Joy,J
Stich,Benjamin,B
Barton,Anne,A
Tiffin,Peter,P
Zhang,Guoping,G
Luo,Zewei,Z
McCouch,Susan R,SR
Goulielmos,George N,GN
Yan,Jianbing,J
Muehlbauer,Gary J,GJ
LÃ_bberstedt,Thomas,T
Zhang,Qifa,Q
Kliebenstein,Daniel J,DJ
Stich,Benjamin,B
McCouch,Susan R,SR
Murray,Diana,D
Khurana,Paramjit,P
PicÃ_,F Xavier,FX
Xue,Gang Ping,GP
Wei,Liping,L
Legarra,A,A
Plomion,Christophe,C
Reif,Jochen Christoph,JC
Weinig,Cynthia,C
Hunt,Arthur G,AG
Weigel,Kent A,KA
Weng,Yiqun,Y
Monteros,Maria J,MJ
Bonnefoy,Nathalie,N
Schmid,Karl J,KJ
NA,NA,NA
Lusis,Aldons J,AJ
Slate,Jon,J
Knight,Julian C,JC
Kim,Sung-Hoon,SH
Nordborg,Magnus,M
Penin,Aleksey A,AA
Zhang,Shihuang,S
Donkena,Krishna Vanaja,KV
Morgante,Michele,M
Wagner,Doris,D
Schubert,Daniel,D
Rudan,Igor,I
Jordan,D R,DR
Borevitz,Justin O,JO
Burow,Mark D,MD
Zhang,Shihuang,S
Yi,Nengjun,N
Zhang,Yuan-Ming,YM
Rossi,Vincenzo,V
Melchinger,Albrecht E,AE
Tasaka,Masao,M
Forni,Selma,S
Vaillancourt,RenÃ© E,RE
Ware,Doreen,D
Sharma,Arun K,AK
Park,S-H,SH
Haley,Chris,C
Breuil,Colette,C
Jannink,Jean-Luc,JL
Li,Xia,X
Holland,James B,JB
Buckler,Edward S,ES
Waugh,Robbie,R
Singla-Pareek,Sneh Lata,SL
Rees,D Jasper G,DJ
Akhunov,Eduard D,ED
Bao,Jinsong,J
Hayes,Patrick M,PM
Gross,Briana L,BL
Yang,Ji,J
WÃ_rschum,Tobias,T
Jannink,Jean-Luc,JL
Kenerley,Charles M,CM
Wang,Minghui,M
Mitchell-Olds,Thomas,T
Salt,David E,DE
Roux,Fabrice,F
Kliebenstein,Daniel J,DJ
Borevitz,Justin O,JO
BalÃ¡zs,E,E
Edwards,David,D
Zutz,Marv,M
Milgate,Andrew,A
Friedt,W,W
Ecke,Wolfgang,W
Weir,Bruce S,BS
Cowling,W A,WA
Xu,Jianhua,J
Lanham,J G,JG
Jannink,J-L,JL
Koc,Ahmet,A
Dixon,Richard A,RA
Clark,Richard M,RM
Wang,Jun,J
Han,Bin,B
Wajapeyee,Narendra,N
Piepho,H-P,HP
Patocchi,A,A
Teulat-Merah,BÃ©atrice,B
Giovannoni,James,J
Leung,Hei,H
Xu,Shizhong,S
Nevo,Eviatar,E
Nordborg,Magnus,M
Corander,Jukka,J
Viola,Roberto,R
Grossniklaus,Ueli,U
Ostrander,Elaine A,EA
Voinnet,Olivier,O
Barroso,InÃªs,I
Chen,Shilin,S
Rensing,Stefan A,SA
WÃ_rschum,Tobias,T
Yan,JianBing,J
Kikuchi,Shoshi,S
van Eeuwijk,Fred A,FA
Briggs,Steven P,SP
Thiery,Joachim,J
Ma,Jianxin,J
McCouch,Susan R,SR
Weigel,Detlef,D
Wu,Chung-I,CI
Gepts,Paul,P
Worthington,Jane,J
Lohmann,Jan U,JU
Jones,Jonathan D G,JD
Roux,Fabrice,F
Neale,David B,DB
Yano,Masahiro,M
Nelson,Colleen C,CC
Kirst,Matias,M
Wei,Liping,L
Bao,Jinsong,J
Slate,Jon,J
Nordborg,Magnus,M
Wu,Qing-Yu,QY
Budak,Hikmet,H
Turck,Franziska,F
Turck,Franziska,F
Turck,Franziska,F
Yin,Tongming,T
Smith,C Wayne,CW
Yu,J,J
Iwabuchi,Masaki,M
Zou,Jun,J
Rafalski,J Antoni,JA
Kapur,Sujala,S
Li,Jia,J
Graner,Andreas,A
Lee,Seung-Chan,SC
Jansson,Stefan,S
Kim,Gwang-Ho,GH
Holland,James B,JB
Baranski,M,M
Buckler,Edward S,ES
Becker,Heiko C,HC
Chen,Z Jeffrey,ZJ
Yephremov,Alexander,A
Doligez,A,A
Park,Beom-Seok,BS
Xue,Hong-Wei,HW
Charcosset,Alain,A
Kliebenstein,Daniel J,DJ
This,Patrice,P
Talbot,Nicholas J,NJ
Yang,Zhenbiao,Z
Sehayek,Ephraim,E
Andersen,Stig UggerhÃ¸,SU
Voss,S Randal,SR
Finkeldey,Reiner,R
Mott,Richard,R
Sharma,Prakash C,PC
Fujimori,Akira,A
Luo,Lijun,L
Levin,Ilan,I
Tuskan,Gerald A,GA
van den Oord,Edwin J C G,EJ
Yu,Jianming,J
Angenent,Gerco C,GC
Damerval,Catherine,C
Bergen,Andrew W,AW
Alexandrov,Nickolai N,NN
Ramsay,Luke,L
Zheng,Yonglian,Y
Ehringer,Marissa,M
Vermerris,Wilfred,W
Abdukarimov,Abdusattor,A
Schauer,Nicolas,N
Chong,Kang,K
Jacobsen,Steven E,SE
Piepho,Hans-Peter,HP
Li,Yu,Y
Melchinger,Albrecht E,AE
Robinson,James I,JI
O'Sullivan,Donal M,DM
Christin,Pascal-Antoine,PA
Chapman,Mark A,MA
Willenbrock,Hanni,H
Nordborg,Magnus,M
Forster,John W,JW
Chee,Peng,P
Lahoz,Carlos,C
Bailey-Serres,Julia,J
Foley,Michael E,ME
Kurata,Nori,N
Goring,Daphne R,DR
